id,latitude,longitude,heading,route_id,predictable,seconds_since_report,run_id,time,time_adjusted
3984,34.035786,-118.377213,236.0,33,True,133,33_574_1,2022-02-22 10:24:04,2022-02-22 10:21:51
3985,34.0487139,-118.24633,75.0,33,False,55,nan,2022-02-22 10:24:04,2022-02-22 10:23:09
3944,33.994015,-118.476006,220.0,33,True,3,33_593_0,2022-02-22 10:24:04,2022-02-22 10:24:01
3967,34.041397,-118.279007,105.0,33,True,107,33_593_0,2022-02-22 10:24:04,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,62,33_589_0,2022-02-22 10:24:14,2022-02-22 10:23:12
4172,34.047173,-118.346664,260.0,33,True,140,33_575_1,2022-02-22 10:24:14,2022-02-22 10:21:54
4151,34.037739,-118.270027,285.0,33,True,166,33_575_1,2022-02-22 10:24:14,2022-02-22 10:21:28
8116,34.04269,-118.247803,-4.0,33,False,192,nan,2022-02-22 10:24:14,2022-02-22 10:21:02
8312,34.001358,-118.43811,59.0,33,True,62,33_589_0,2022-02-22 10:24:14,2022-02-22 10:23:12
8136,34.012413,-118.494164,120.0,33,True,218,33_589_0,2022-02-22 10:24:14,2022-02-22 10:20:36
8114,34.020058,-118.404419,56.0,33,True,88,33_593_0,2022-02-22 10:24:14,2022-02-22 10:22:46
4079,34.045906,-118.34584,75.0,33,True,140,33_593_0,2022-02-22 10:24:14,2022-02-22 10:21:54
8159,34.057621,-118.230927,21.0,33,True,62,33_575_1,2022-02-22 10:24:14,2022-02-22 10:23:12
8274,33.992779,-118.474663,135.0,33,False,296,nan,2022-02-22 10:24:14,2022-02-22 10:19:18
4093,34.002789,-118.435555,225.0,33,True,114,33_574_1,2022-02-22 10:24:14,2022-02-22 10:22:20
8146,34.057018,-118.231216,276.0,33,True,114,33_575_1,2022-02-22 10:24:14,2022-02-22 10:22:20
8303,34.043652,-118.300514,75.0,33,True,88,33_589_0,2022-02-22 10:24:14,2022-02-22 10:22:46
8106,33.987415,-118.466042,255.0,33,True,270,33_575_1,2022-02-22 10:24:14,2022-02-22 10:19:44
8269,34.045029,-118.25013,30.0,33,True,62,33_589_0,2022-02-22 10:24:14,2022-02-22 10:23:12
8140,34.017941,-118.408546,225.0,33,True,10,33_575_1,2022-02-22 10:24:14,2022-02-22 10:24:04
3984,34.035786,-118.377213,236.0,33,True,140,33_574_1,2022-02-22 10:24:14,2022-02-22 10:21:54
3985,34.0487139,-118.24633,75.0,33,False,62,nan,2022-02-22 10:24:14,2022-02-22 10:23:12
3944,33.994015,-118.476006,220.0,33,True,10,33_593_0,2022-02-22 10:24:14,2022-02-22 10:24:04
3967,34.041397,-118.279007,105.0,33,True,114,33_593_0,2022-02-22 10:24:14,2022-02-22 10:22:20
8299,34.030918,-118.385307,56.0,33,True,75,33_589_0,2022-02-22 10:24:24,2022-02-22 10:23:09
4172,34.047173,-118.346664,260.0,33,True,153,33_575_1,2022-02-22 10:24:24,2022-02-22 10:21:51
4151,34.037739,-118.270027,285.0,33,True,179,33_575_1,2022-02-22 10:24:24,2022-02-22 10:21:25
8116,34.04269,-118.247803,-4.0,33,False,205,nan,2022-02-22 10:24:24,2022-02-22 10:20:59
8312,34.001358,-118.43811,59.0,33,True,75,33_589_0,2022-02-22 10:24:24,2022-02-22 10:23:09
8136,34.012413,-118.494164,120.0,33,True,231,33_589_0,2022-02-22 10:24:24,2022-02-22 10:20:33
8114,34.020058,-118.404419,56.0,33,True,101,33_593_0,2022-02-22 10:24:24,2022-02-22 10:22:43
4079,34.045906,-118.34584,75.0,33,True,153,33_593_0,2022-02-22 10:24:24,2022-02-22 10:21:51
8159,34.057621,-118.230927,21.0,33,True,75,33_575_1,2022-02-22 10:24:24,2022-02-22 10:23:09
4093,34.002789,-118.435555,225.0,33,True,127,33_574_1,2022-02-22 10:24:24,2022-02-22 10:22:17
8146,34.057018,-118.231216,276.0,33,True,127,33_575_1,2022-02-22 10:24:24,2022-02-22 10:22:17
8303,34.043652,-118.300514,75.0,33,True,101,33_589_0,2022-02-22 10:24:24,2022-02-22 10:22:43
8106,33.987415,-118.466042,255.0,33,True,283,33_575_1,2022-02-22 10:24:24,2022-02-22 10:19:41
8269,34.045029,-118.25013,30.0,33,True,75,33_589_0,2022-02-22 10:24:24,2022-02-22 10:23:09
8140,34.017941,-118.408546,225.0,33,True,23,33_575_1,2022-02-22 10:24:24,2022-02-22 10:24:01
3984,34.035786,-118.377213,236.0,33,True,153,33_574_1,2022-02-22 10:24:24,2022-02-22 10:21:51
3985,34.0487139,-118.24633,75.0,33,False,75,nan,2022-02-22 10:24:24,2022-02-22 10:23:09
3944,33.994015,-118.476006,220.0,33,True,23,33_593_0,2022-02-22 10:24:24,2022-02-22 10:24:01
3967,34.041397,-118.279007,105.0,33,True,127,33_593_0,2022-02-22 10:24:24,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,82,33_589_0,2022-02-22 10:24:34,2022-02-22 10:23:12
4172,34.047173,-118.346664,260.0,33,True,160,33_575_1,2022-02-22 10:24:34,2022-02-22 10:21:54
4151,34.043461,-118.2836,285.0,33,True,4,33_575_1,2022-02-22 10:24:34,2022-02-22 10:24:30
8116,34.04269,-118.247803,-4.0,33,False,213,nan,2022-02-22 10:24:34,2022-02-22 10:21:01
8312,34.001358,-118.43811,59.0,33,True,82,33_589_0,2022-02-22 10:24:34,2022-02-22 10:23:12
8136,34.012413,-118.494164,120.0,33,True,239,33_589_0,2022-02-22 10:24:34,2022-02-22 10:20:35
8114,34.020058,-118.404419,56.0,33,True,108,33_593_0,2022-02-22 10:24:34,2022-02-22 10:22:46
4079,34.045906,-118.34584,75.0,33,True,160,33_593_0,2022-02-22 10:24:34,2022-02-22 10:21:54
8159,34.057621,-118.230927,21.0,33,True,82,33_575_1,2022-02-22 10:24:34,2022-02-22 10:23:12
8274,33.993851,-118.452957,45.0,33,True,4,33_575_1,2022-02-22 10:24:34,2022-02-22 10:24:30
4093,34.002789,-118.435555,225.0,33,True,134,33_574_1,2022-02-22 10:24:34,2022-02-22 10:22:20
8146,34.057018,-118.231216,276.0,33,True,134,33_575_1,2022-02-22 10:24:34,2022-02-22 10:22:20
8303,34.043652,-118.300514,75.0,33,True,108,33_589_0,2022-02-22 10:24:34,2022-02-22 10:22:46
8106,33.987415,-118.466042,255.0,33,True,291,33_575_1,2022-02-22 10:24:34,2022-02-22 10:19:43
8269,34.045029,-118.25013,30.0,33,True,82,33_589_0,2022-02-22 10:24:34,2022-02-22 10:23:12
8140,34.017941,-118.408546,225.0,33,True,30,33_575_1,2022-02-22 10:24:34,2022-02-22 10:24:04
3984,34.035786,-118.377213,236.0,33,True,160,33_574_1,2022-02-22 10:24:34,2022-02-22 10:21:54
3985,34.0487139,-118.24633,75.0,33,False,82,nan,2022-02-22 10:24:34,2022-02-22 10:23:12
3944,33.994015,-118.476006,220.0,33,True,30,33_593_0,2022-02-22 10:24:34,2022-02-22 10:24:04
3967,34.041397,-118.279007,105.0,33,True,134,33_593_0,2022-02-22 10:24:34,2022-02-22 10:22:20
