id,route_id,run_id,heading,predictable,longitude,latitude,seconds_since_report,time,time_adjusted
8133,2,2_1113_1,270.0,True,-118.287498,34.098213,13,2021-11-22 11:38:38,2021-11-22 11:38:25
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,204,2021-11-22 11:38:38,2021-11-22 11:35:14
8139,2,2_1109_0,210.0,True,-118.261246,34.038429,39,2021-11-22 11:38:38,2021-11-22 11:37:59
8136,2,2_1113_1,225.0,True,-118.413528,34.080559,39,2021-11-22 11:38:38,2021-11-22 11:37:59
8163,2,2_1109_0,90.0,True,-118.326241,34.0979389,39,2021-11-22 11:38:38,2021-11-22 11:37:59
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,92,2021-11-22 11:38:38,2021-11-22 11:37:06
8439,2,2_1109_0,220.0,True,-118.246361,34.05468,39,2021-11-22 11:38:38,2021-11-22 11:37:59
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,119,2021-11-22 11:38:38,2021-11-22 11:36:39
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,231,2021-11-22 11:38:38,2021-11-22 11:34:47
8509,2,2_1114_1,271.0,True,-118.35273,34.098103,39,2021-11-22 11:38:38,2021-11-22 11:37:59
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,287,2021-11-22 11:38:38,2021-11-22 11:33:51
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,92,2021-11-22 11:38:38,2021-11-22 11:37:06
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,100,2021-11-22 11:38:48,2021-11-22 11:37:08
8133,2,2_1113_1,270.0,True,-118.287498,34.098213,21,2021-11-22 11:38:48,2021-11-22 11:38:27
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,212,2021-11-22 11:38:48,2021-11-22 11:35:16
8139,2,2_1109_0,210.0,True,-118.261246,34.038429,47,2021-11-22 11:38:48,2021-11-22 11:38:01
8136,2,2_1113_1,225.0,True,-118.413528,34.080559,47,2021-11-22 11:38:48,2021-11-22 11:38:01
8163,2,2_1109_0,90.0,True,-118.326241,34.0979389,47,2021-11-22 11:38:48,2021-11-22 11:38:01
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,100,2021-11-22 11:38:48,2021-11-22 11:37:08
8439,2,2_1109_0,220.0,True,-118.246361,34.05468,47,2021-11-22 11:38:48,2021-11-22 11:38:01
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,127,2021-11-22 11:38:48,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,240,2021-11-22 11:38:48,2021-11-22 11:34:48
8509,2,2_1114_1,271.0,True,-118.35273,34.098103,47,2021-11-22 11:38:48,2021-11-22 11:38:01
